id,name,x,y,z,,rate,type,property,T_Thousands_of_tonnes
81,FRCQF,1.8548272969999857,50.967095674999996,0.5,,0.03331,base,base ,8809.394736842105
82,FRDKK,2.1789215000000013,51.0160065,0.5,,0.03331,base,base ,20306.394736842107
83,BEGNE,3.7416992189999974,51.085083008000026,0.5,,0.03331,base,base ,12526.71052631579
84,GBDVR,1.3174759999999992,51.12308899999999,0.5,,0.03331,base,base ,11445.578947368422
85,BEOST,2.921875,51.235107422,0.5,,0.03331,base,base ,2312375
86,BEANR,4.375671387000011,51.25390625,0.5,,0.03331,base,base ,78036.73684210527
87,BEZEE,3.197264500000017,51.36302549999999,0.5,,0.03331,base,base ,13699.947368421053
88,GBRMG,1.4202880860000278,51.327697753999985,0.5,,0.03331,base,base ,545.3243243243244
89,NLTNZ,3.81386950000001,51.337199999999996,0.5,,0.03331,base,base ,6122.3
90,GBMED,0.5529086270000221,51.40056149399999,0.5,,0.03331,base,base ,6271.578947368421
91,NLVLI,3.5970970000000193,51.44206200000002,0.5,,0.03331,base,base ,7672.6
92,GBBRS,-2.6240234379999947,51.449707031,0.5,,0.03331,base,base ,4825.894736842105
93,GBCDF,-3.15960693400001,51.45330810500002,0.5,,0.03331,base,base ,1037.3157894736842
94,GBLON,-0.07913800000000037,51.505424500000004,0.5,,0.03331,base,base ,23767.92105263158
95,GBNPT,-2.986083984000004,51.567504883000026,0.5,,0.03331,base,base ,1400.1315789473683
96,GBPTB,-3.7976899999999887,51.57632050000001,0.5,,0.03331,base,base ,3686.4736842105262
97,GBSWA,-3.929809569999975,51.615478515999996,0.5,,0.03331,base,base ,314.60526315789474
98,IEBYT,-9.458984375,51.68109130900001,0.5,,0.03331,base,base ,562.0555555555555
99,NLMOE,4.616516112999989,51.69989013700001,0.5,,0.03331,base,base ,2527.1052631578946
100,IEKLN,-8.517700194999975,51.70147705099998,0.5,,0.03331,base,base ,18.0
101,GBMLF,-5.029863244000012,51.70950801499998,0.5,,0.03331,base,base ,17688.947368421053
102,NLDOR,4.644897461000028,51.80487060500002,0.5,,0.03331,base,base ,1290.6176470588234
103,NLZWI,4.653686522999976,51.815673828,0.5,,0.03331,base,base ,61.05
104,NLVLA,4.363525390999996,51.90130615200002,0.5,,0.03331,base,base ,3141.0263157894738
105,IEORK,-8.435485840000013,51.90167236299999,0.5,,0.03331,base,base ,4385.1578947368425
106,NLRTM,4.483703612999989,51.903686522999976,0.5,,0.03331,base,base ,182869.2894736842
107,GBHRW,1.2883300780000013,51.94927978499999,0.5,,0.03331,base,base ,1836.3157894736842
108,GBFXT,1.3134244920000242,51.949968954999974,0.5,,0.03331,base,base ,12477.473684210527
109,GBFIS,-4.982604980000019,52.01470947299998,0.5,,0.03331,base,base ,205.73684210526315
110,GBIPS,1.1605224610000278,52.046081543000014,0.5,,0.03331,base,base ,1313.1842105263158
111,NLSCE,4.254089355000019,52.101074219,0.5,,0.03331,base,base ,961.35
